epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.09882,1.19096,4.09125,1.03611,0.00256,0.33333,0.09204,0.07549,0.86647,3.68832,0.91095,0,0,0
2,2.16795,1.18591,4.08609,1.03111,0.00452,0.34615,0.09766,0.0891,0.83517,3.67696,0.90473,1.42193e-05,1.42193e-05,1.42193e-05
3,3.27592,1.11305,4.02964,1.02267,0.00648,0.35897,0.11346,0.10611,0.78781,3.66713,0.89519,2.82971e-05,2.82971e-05,2.82971e-05
4,4.32988,1.1135,4.00308,1.03522,0.01007,0.38462,0.13491,0.12749,0.7038,3.64091,0.87131,4.22334e-05,4.22334e-05,4.22334e-05
5,5.34714,0.87683,3.69681,1.01217,0.01863,0.44872,0.20499,0.19656,0.69354,3.60214,0.86452,5.60282e-05,5.60282e-05,5.60282e-05
6,6.35964,0.83597,3.80162,0.93795,0.01961,0.46154,0.11555,0.10682,0.71691,3.54532,0.86516,6.96816e-05,6.96816e-05,6.96816e-05
7,7.33456,0.77572,3.53631,0.92125,0.0146,0.42308,0.13387,0.11639,0.7361,3.52363,0.85055,8.31935e-05,8.31935e-05,8.31935e-05
8,8.32462,0.96953,3.40454,0.91453,0.0116,0.39744,0.14968,0.11473,0.8112,3.51733,0.86335,9.6564e-05,9.6564e-05,9.6564e-05
9,9.35711,0.97574,3.26867,0.92,0.01895,0.46154,0.17914,0.11712,0.80058,3.52089,0.8703,0.000109793,0.000109793,0.000109793
10,10.3735,0.95453,3.07976,0.93018,0.02301,0.5,0.16697,0.08936,0.7635,3.50553,0.86181,0.00012288,0.00012288,0.00012288
11,11.3841,0.8643,2.95952,0.89454,0.02429,0.51282,0.15409,0.10113,0.79644,3.48308,0.87314,0.000135826,0.000135826,0.000135826
12,12.4217,0.96211,2.60928,0.9419,0.02266,0.5,0.18136,0.10323,0.83911,3.47589,0.88579,0.000148631,0.000148631,0.000148631
13,13.4077,0.95588,2.40969,0.92558,0.02169,0.48718,0.24531,0.16973,0.80728,3.46644,0.86226,0.000161294,0.000161294,0.000161294
14,14.4277,0.85621,2.13102,0.87089,0.02197,0.48718,0.25206,0.17056,0.8715,3.41101,0.87761,0.000173816,0.000173816,0.000173816
15,15.4107,0.79596,1.80171,0.87027,0.02368,0.5,0.2616,0.17005,0.92863,3.31488,0.91326,0.000186196,0.000186196,0.000186196
16,16.4013,0.9168,1.68621,0.90226,0.03204,0.57692,0.31929,0.18848,0.96869,3.20812,0.97243,0.000198435,0.000198435,0.000198435
17,17.4549,0.86312,1.43792,0.91495,0.03698,0.62821,0.41217,0.24885,0.96502,3.09124,0.99579,0.000210532,0.000210532,0.000210532
18,18.4639,0.74877,1.154,0.89306,0.03698,0.62821,0.41217,0.24885,0.96502,3.09124,0.99579,0.000222487,0.000222487,0.000222487
19,19.4787,0.7394,1.26267,0.87466,0.03942,0.65385,0.53615,0.4295,0.97281,2.94872,1.01183,0.000234302,0.000234302,0.000234302
20,20.4379,0.75669,1.14728,0.83957,0.03942,0.65385,0.53615,0.4295,0.97281,2.94872,1.01183,0.000245974,0.000245974,0.000245974
21,21.4834,0.76071,1.09513,0.85304,0.81885,0.47009,0.56058,0.4355,0.99848,2.78985,1.00369,0.000257506,0.000257506,0.000257506
22,22.496,0.7415,1.03414,0.89206,0.81885,0.47009,0.56058,0.4355,0.99848,2.78985,1.00369,0.000268896,0.000268896,0.000268896
23,23.5704,0.68339,1.01744,0.83685,0.85801,0.35897,0.60195,0.47856,1.01436,2.62779,1.00853,0.000280144,0.000280144,0.000280144
24,24.5812,0.70459,0.97133,0.85699,0.85801,0.35897,0.60195,0.47856,1.01436,2.62779,1.00853,0.000291251,0.000291251,0.000291251
25,25.6021,0.68467,0.96617,0.84919,0.88543,0.48301,0.6172,0.48077,0.99742,2.47759,1.01317,0.000302216,0.000302216,0.000302216
26,26.5598,0.69228,0.97672,0.88571,0.88543,0.48301,0.6172,0.48077,0.99742,2.47759,1.01317,0.00031304,0.00031304,0.00031304
27,27.5592,0.69401,0.89076,0.82181,0.96963,0.46129,0.63303,0.51506,0.95739,2.34605,1.00238,0.000323723,0.000323723,0.000323723
28,28.5812,0.71156,0.89138,0.84744,0.96963,0.46129,0.63303,0.51506,0.95739,2.34605,1.00238,0.000334264,0.000334264,0.000334264
29,29.5518,0.64784,0.89185,0.83221,0.97619,0.16665,0.63509,0.50456,0.81791,2.23513,0.90819,0.000344663,0.000344663,0.000344663
30,30.5333,0.6888,0.93235,0.85539,0.97619,0.16665,0.63509,0.50456,0.81791,2.23513,0.90819,0.000354921,0.000354921,0.000354921
